1,worms_phylum,worms_class,worms_order,worms_family,worms_valid_name,erroneous record,worms_id,checklist_crust,checklist_molluscs,idigbio,obis,bold
99,annelida,clitellata,haplotaxida,naididae,Inanidrilus bulbosus,,475766,0,0,1,1,0
100,annelida,clitellata,haplotaxida,naididae,Inanidrilus ernesti,,475770,0,0,1,1,0
102,annelida,clitellata,haplotaxida,naididae,Inanidrilus extremus,,476326,0,0,1,0,0
103,annelida,clitellata,haplotaxida,naididae,Inanidrilus mexicanus,,475779,0,0,1,0,0
104,annelida,clitellata,haplotaxida,naididae,Inanidrilus triangulatus,,475785,0,0,1,1,0
105,annelida,clitellata,haplotaxida,naididae,Inanidrilus vacivus,,475786,0,0,1,1,0
106,annelida,clitellata,haplotaxida,naididae,Limnodriloides anxius,,475795,0,0,1,0,1
107,annelida,clitellata,haplotaxida,naididae,Limnodriloides baculatus,,475800,0,0,1,1,0
108,annelida,clitellata,haplotaxida,naididae,Limnodriloides barnardi,,475801,0,0,1,1,0
109,annelida,clitellata,haplotaxida,naididae,Limnodriloides medioporus,,475821,0,0,1,1,0
110,annelida,clitellata,haplotaxida,naididae,Limnodriloides monothecus,,137493,0,0,1,1,0
111,annelida,clitellata,haplotaxida,naididae,Limnodriloides olearius,,475822,0,0,1,1,0
112,annelida,clitellata,haplotaxida,naididae,Limnodriloides rubicundus,,475824,0,0,1,1,0
113,annelida,clitellata,haplotaxida,naididae,Limnodriloides validus,,475833,0,0,1,1,0
114,annelida,clitellata,haplotaxida,naididae,Limnodriloides vespertinus,,475835,0,0,1,1,0
115,annelida,clitellata,haplotaxida,naididae,Limnodriloides virginiae,,475837,0,0,1,0,0
116,annelida,clitellata,haplotaxida,naididae,Limnodriloides winckelmanni,,156215,0,0,1,1,0
2289,annelida,clitellata,haplotaxida,naididae,Limnodrilus cervix,,157591,0,0,0,1,0
2290,annelida,clitellata,haplotaxida,naididae,Limnodrilus hoffmeisteri,,137556,0,0,0,1,1
2291,annelida,clitellata,haplotaxida,naididae,Limnodrilus udekemianus,,157593,0,0,0,1,1
2292,annelida,clitellata,haplotaxida,naididae,Mexidrilus christeri,,475923,0,0,0,1,0
2293,annelida,clitellata,haplotaxida,naididae,Mexidrilus constrictus,,475924,0,0,0,1,0
120,annelida,clitellata,haplotaxida,naididae,Mexidrilus grasslei,,476331,0,0,1,0,0
121,annelida,clitellata,haplotaxida,naididae,Mexidrilus obtusus,,475928,0,0,1,1,0
2294,annelida,clitellata,haplotaxida,naididae,Mexidrilus vescus,,475929,0,0,0,1,0
122,annelida,clitellata,haplotaxida,naididae,Milliganius sabulosus,,475931,0,0,1,0,0
123,annelida,clitellata,haplotaxida,naididae,Monopylephorus evertus,,475935,0,0,1,1,0
2295,annelida,clitellata,haplotaxida,naididae,Monopylephorus irroratus,,416510,0,0,0,1,0
124,annelida,clitellata,haplotaxida,naididae,Monopylephorus rubroniveus,,137551,0,0,1,1,1
2296,annelida,clitellata,haplotaxida,naididae,Nais variabilis,,137482,0,0,0,1,1
125,annelida,clitellata,haplotaxida,naididae,Nootkadrilus verutus,,475947,0,0,1,1,0
127,annelida,clitellata,haplotaxida,naididae,Olavius caudatus,,476311,0,0,1,0,0
128,annelida,clitellata,haplotaxida,naididae,Olavius cornuatus,,475960,0,0,1,1,0
129,annelida,clitellata,haplotaxida,naididae,Olavius furinus,,475967,0,0,1,0,0
130,annelida,clitellata,haplotaxida,naididae,Olavius latus,,475975,0,0,1,1,0
131,annelida,clitellata,haplotaxida,naididae,Olavius rallus,,475995,0,0,1,1,0
132,annelida,clitellata,haplotaxida,naididae,Olavius tenuissimus,,476002,0,0,1,0,0
133,annelida,clitellata,haplotaxida,naididae,Parakaketio longiprostatus,,476011,0,0,1,1,0
134,annelida,clitellata,haplotaxida,naididae,Paranais frici,,137484,0,0,1,0,1
2297,annelida,clitellata,haplotaxida,naididae,Paranais litoralis,,137485,0,0,0,1,1
135,annelida,clitellata,haplotaxida,naididae,Pectinodrilus molestus,,476022,0,0,1,0,0
136,annelida,clitellata,haplotaxida,naididae,Peosidrilus acochlearis,,476028,0,0,1,1,0
137,annelida,clitellata,haplotaxida,naididae,Peosidrilus aduncus,,476029,0,0,1,1,0
138,annelida,clitellata,haplotaxida,naididae,Peosidrilus biprostatus,,476030,0,0,1,1,1
139,annelida,clitellata,haplotaxida,naididae,Peosidrilus boeschi,,476031,0,0,1,1,0
140,annelida,clitellata,haplotaxida,naididae,Peosidrilus coeloprostatus,,476033,0,0,1,1,0
141,annelida,clitellata,haplotaxida,naididae,Peosidrilus dalei,,476034,0,0,1,1,0
2298,annelida,clitellata,haplotaxida,naididae,Peosidrilus dorsospermatheca,,476035,0,0,0,1,0
2299,annelida,clitellata,haplotaxida,naididae,Peosidrilus hirsutus,,476037,0,0,0,1,0
142,annelida,clitellata,haplotaxida,naididae,Peosidrilus obscurus,,476039,0,0,1,1,0
143,annelida,clitellata,haplotaxida,naididae,Phallodriloides pinnulatus,,476045,0,0,1,0,0
145,annelida,clitellata,haplotaxida,naididae,Pirodrilus parviatriatus,,476345,0,0,1,0,0
146,annelida,clitellata,haplotaxida,naididae,Smithsonidrilus hummelincki,,476075,0,0,1,1,0
147,annelida,clitellata,haplotaxida,naididae,Smithsonidrilus luteolus,,476079,0,0,1,0,0
148,annelida,clitellata,haplotaxida,naididae,Smithsonidrilus marinus,,476080,0,0,1,1,0
149,annelida,clitellata,haplotaxida,naididae,Smithsonidrilus multiglandularis,,476082,0,0,1,1,0
150,annelida,clitellata,haplotaxida,naididae,Smithsonidrilus westoni,,476090,0,0,1,1,0
151,annelida,clitellata,haplotaxida,naididae,Tectidrilus bori,,476099,0,0,1,1,0
152,annelida,clitellata,haplotaxida,naididae,Tectidrilus diversus,,476101,0,0,1,0,0
153,annelida,clitellata,haplotaxida,naididae,Tectidrilus gabriellae,,476102,0,0,1,1,0
154,annelida,clitellata,haplotaxida,naididae,Tectidrilus probus,,476105,0,0,1,1,0
155,annelida,clitellata,haplotaxida,naididae,Tectidrilus profusus,,476106,0,0,1,1,0
156,annelida,clitellata,haplotaxida,naididae,Tectidrilus squalidus,,476107,0,0,1,1,0
157,annelida,clitellata,haplotaxida,naididae,Thalassodrilides belli,,476110,0,0,1,1,0
2300,annelida,clitellata,haplotaxida,naididae,Thalassodrilides gurwitschi,,137496,0,0,0,1,0
158,annelida,clitellata,haplotaxida,naididae,Thalassodrilides ineri,,476113,0,0,1,0,0
159,annelida,clitellata,haplotaxida,naididae,Tubificoides aculeatus,,416512,0,0,1,1,0
160,annelida,clitellata,haplotaxida,naididae,Tubificoides annulus,,476119,0,0,1,1,0
161,annelida,clitellata,haplotaxida,naididae,Tubificoides apectinatus,,395108,0,0,1,1,0
163,annelida,clitellata,haplotaxida,naididae,Tubificoides benedii,,160058,0,0,1,0,1
2301,annelida,clitellata,haplotaxida,naididae,Tubificoides bermudae,,476121,0,0,0,1,0
164,annelida,clitellata,haplotaxida,naididae,Tubificoides blakei,,476122,0,0,1,1,0
165,annelida,clitellata,haplotaxida,naididae,Tubificoides bobi,,476123,0,0,1,1,0
166,annelida,clitellata,haplotaxida,naididae,Tubificoides brownae,,137572,0,0,1,1,1
167,annelida,clitellata,haplotaxida,naididae,Tubificoides crinitus,,476126,0,0,1,1,0
168,annelida,clitellata,haplotaxida,naididae,Tubificoides denouxi,,476127,0,0,1,1,0
169,annelida,clitellata,haplotaxida,naididae,Tubificoides diazi,,137574,0,0,1,1,1
170,annelida,clitellata,haplotaxida,naididae,Tubificoides dukei,,476128,0,0,1,0,0
171,annelida,clitellata,haplotaxida,naididae,Tubificoides fraseri,,414050,0,0,1,0,1
2302,annelida,clitellata,haplotaxida,naididae,Tubificoides heterochaetus,,137577,0,0,0,1,1
173,annelida,clitellata,haplotaxida,naididae,Tubificoides intermedius,,176483,0,0,1,0,0
174,annelida,clitellata,haplotaxida,naididae,Tubificoides kozloffi,,137580,0,0,1,1,1
175,annelida,clitellata,haplotaxida,naididae,Tubificoides longipenis,,476132,0,0,1,0,0
176,annelida,clitellata,haplotaxida,naididae,Tubificoides lunatus,,476133,0,0,1,1,0
177,annelida,clitellata,haplotaxida,naididae,Tubificoides methanicus,,476134,0,0,1,1,0
178,annelida,clitellata,haplotaxida,naididae,Tubificoides motei,,476135,0,0,1,1,0
179,annelida,clitellata,haplotaxida,naididae,Tubificoides nerthoides,,476136,0,0,1,0,0
180,annelida,clitellata,haplotaxida,naididae,Tubificoides paracrinitus,,476139,0,0,1,1,0
181,annelida,clitellata,haplotaxida,naididae,Tubificoides pequegnatae,,476142,0,0,1,1,0
182,annelida,clitellata,haplotaxida,naididae,Tubificoides pollex,,476143,0,0,1,1,0
183,annelida,clitellata,haplotaxida,naididae,Tubificoides pseudapectinatus,,476145,0,0,1,0,0
184,annelida,clitellata,haplotaxida,naididae,Tubificoides uncinatus,,476148,0,0,1,1,0
185,annelida,clitellata,haplotaxida,naididae,Tubificoides wasselli,,395109,0,0,1,1,1
2303,annelida,clitellata,haplotaxida,naididae,Uniporodrilus granulothecatus,,476151,0,0,0,1,0
2304,annelida,clitellata,rhynchobdellida,ozobranchidae,Ozobranchus branchiatus,,370654,0,0,0,1,1
186,annelida,clitellata,rhynchobdellida,ozobranchidae,Ozobranchus margoi,,116947,0,0,1,1,1
187,annelida,clitellata,rhynchobdellida,piscicolidae,Aestabdella abditovesiculata,,765262,0,0,1,0,0
2305,annelida,clitellata,rhynchobdellida,piscicolidae,Austrobdella californica,,370597,0,0,0,1,0
2306,annelida,clitellata,rhynchobdellida,piscicolidae,Austrobdella rapax,,157587,0,0,0,1,0
188,annelida,clitellata,rhynchobdellida,piscicolidae,Branchellion lobata,,370607,0,0,1,1,0
2307,annelida,clitellata,rhynchobdellida,piscicolidae,Branchellion ravenelii,,370610,0,0,0,1,0
189,annelida,clitellata,rhynchobdellida,piscicolidae,Branchellion torpedinis,,116953,0,0,1,1,1
190,annelida,clitellata,rhynchobdellida,piscicolidae,Galatheabdella epshteini,,992724,0,0,1,0,0
2308,annelida,clitellata,rhynchobdellida,piscicolidae,Hemibdella rapax,,382373,0,0,0,1,0
2309,annelida,clitellata,rhynchobdellida,piscicolidae,Heptacyclus brunneus,,410318,0,0,0,1,0
2310,annelida,clitellata,rhynchobdellida,piscicolidae,Heptacyclus philothermus,,421087,0,0,0,1,0
192,annelida,clitellata,rhynchobdellida,piscicolidae,Heptacyclus virgatus,,370630,0,0,1,1,0
193,annelida,clitellata,rhynchobdellida,piscicolidae,Janusion diminuta,,370726,0,0,1,0,0
194,annelida,clitellata,rhynchobdellida,piscicolidae,Janusion virida,,370729,0,0,1,0,0
195,annelida,clitellata,rhynchobdellida,piscicolidae,Marsipobdella sacculata,,370638,0,0,1,1,0
196,annelida,clitellata,rhynchobdellida,piscicolidae,Mysidobdella borealis,,370642,0,0,1,0,0
197,annelida,clitellata,rhynchobdellida,piscicolidae,Myzobdella lugubris,,160303,0,0,1,1,1
198,annelida,clitellata,rhynchobdellida,piscicolidae,Notostomum cyclostomum,,370644,0,0,1,0,0
200,annelida,clitellata,rhynchobdellida,piscicolidae,Oceanobdella sexoculata,,370737,0,0,1,0,0
201,annelida,clitellata,rhynchobdellida,piscicolidae,Orientobdella confluens,,370649,0,0,1,1,0
202,annelida,clitellata,rhynchobdellida,piscicolidae,Ostreobdella papillata,,370652,0,0,1,0,0
203,annelida,clitellata,rhynchobdellida,piscicolidae,Oxytonostoma typica,,116979,0,0,1,1,1
2311,annelida,clitellata,rhynchobdellida,piscicolidae,Pterobdella leiostomi,,370678,0,0,0,1,0
204,annelida,clitellata,rhynchobdellida,piscicolidae,Stibarobdella macrothela,,370683,0,0,1,1,0
2312,annelida,clitellata,rhynchobdellida,piscicolidae,Stibarobdella moorei,,370684,0,0,0,1,0
206,annelida,clitellata,rhynchobdellida,piscicolidae,Trachelobdella lubrica,,116991,0,0,1,0,0
207,annelida,clitellata,rhynchobdellida,piscicolidae,Trachelobdella oregonensis,,370696,0,0,1,0,0
208,annelida,clitellata,rhynchobdellida,piscicolidae,Trachelobdella rugosa,,370697,0,0,1,1,0
56,annelida,clitellata,enchytraeida,randiellidae,Randiella litoralis,,476061,0,0,1,1,0
57,annelida,clitellata,enchytraeida,randiellidae,Randiella multitheca,,476063,0,0,1,0,0
3052,annelida,NA,NA,lobatocerebridae,Lobatocerebrum psammicola,,869067,0,0,0,1,0
2281,annelida,NA,myzostomida,myzostomatidae,Myzostoma excisum,,335205,0,0,1,0,0
2282,annelida,NA,myzostomida,myzostomatidae,Myzostoma glabrum,,130338,0,0,1,0,0
2283,annelida,NA,myzostomida,myzostomatidae,Myzostoma irregulare,,335224,0,0,1,0,0
1975,annelida,polychaeta,NA,aberrantidae,Aberranta enigmatica,,326194,0,0,1,1,0
1976,annelida,polychaeta,NA,aberrantidae,Aberranta palpata,,326195,0,0,1,1,0
517,annelida,polychaeta,phyllodocida,acoetidae,Acoetes pacifica,,332886,0,0,1,1,1
518,annelida,polychaeta,phyllodocida,acoetidae,Acoetes pleei,,326208,0,0,1,1,0
519,annelida,polychaeta,phyllodocida,acoetidae,Euarche mexicana,,327545,0,0,1,1,0
520,annelida,polychaeta,phyllodocida,acoetidae,Euarche tubifex,,129734,0,0,1,1,0
521,annelida,polychaeta,phyllodocida,acoetidae,Eupanthalis kinbergi,,129735,0,0,1,1,0
2436,annelida,polychaeta,phyllodocida,acoetidae,Eupolyodontes batabanoensis,,335041,0,0,0,1,0
522,annelida,polychaeta,phyllodocida,acoetidae,Panthalis alaminosae,,330256,0,0,1,1,0
523,annelida,polychaeta,phyllodocida,acoetidae,Polyodontes frankenbergi,,331034,0,0,1,1,0
524,annelida,polychaeta,phyllodocida,acoetidae,Polyodontes frons,,331035,0,0,1,1,0
525,annelida,polychaeta,phyllodocida,acoetidae,Polyodontes lupinus,,157541,0,0,1,1,0
526,annelida,polychaeta,phyllodocida,acoetidae,Polyodontes oculea,,334582,0,0,1,1,0
2437,annelida,polychaeta,phyllodocida,acoetidae,Polyodontes panamensis,,334584,0,0,0,1,0
527,annelida,polychaeta,phyllodocida,acoetidae,Polyodontes texanus,,331039,0,0,1,1,0
2827,annelida,polychaeta,terebellida,acrocirridae,Acrocirrus crassifilis,,326212,0,0,0,1,0
1713,annelida,polychaeta,terebellida,acrocirridae,Acrocirrus frontifilis,,129739,0,0,1,1,0
2828,annelida,polychaeta,terebellida,acrocirridae,Acrocirrus heterochaetus,,326213,0,0,0,1,0
1714,annelida,polychaeta,terebellida,acrocirridae,Flabelligella minuta,,328046,0,0,1,1,0
2829,annelida,polychaeta,terebellida,acrocirridae,Flabelligena cirrata,,333477,0,0,0,1,0
2830,annelida,polychaeta,terebellida,acrocirridae,Flabelligena erratica,,333478,0,0,0,1,0
1715,annelida,polychaeta,terebellida,acrocirridae,Macrochaeta clavicornis,,129745,0,0,1,1,1
1716,annelida,polychaeta,terebellida,acrocirridae,Macrochaeta papillosa,,173061,0,0,1,1,0
2831,annelida,polychaeta,terebellida,acrocirridae,Macrochaeta pege,,329115,0,0,0,1,0
2832,annelida,polychaeta,terebellida,acrocirridae,Macrochaeta sexoculata,,157480,0,0,0,1,0
1717,annelida,polychaeta,terebellida,acrocirridae,Swima bombiviridis,,413515,0,0,1,1,1
1718,annelida,polychaeta,terebellida,acrocirridae,Swima fulgida,,587954,0,0,1,1,0
528,annelida,polychaeta,phyllodocida,alciopidae,Alciopa reynaudii,,340446,0,0,1,0,0
529,annelida,polychaeta,phyllodocida,alciopidae,Alciopina parasitica,,129750,0,0,1,1,0
530,annelida,polychaeta,phyllodocida,alciopidae,Plotohelmis tenuis,,129755,0,0,1,1,0
531,annelida,polychaeta,phyllodocida,alciopidae,Rhynchonereella angelini,,416504,0,0,1,1,0
2438,annelida,polychaeta,phyllodocida,alciopidae,Vanadis formosa,,129765,0,0,0,1,0
532,annelida,polychaeta,phyllodocida,alciopidae,Vanadis longissima,,129766,0,0,1,1,0
533,annelida,polychaeta,phyllodocida,alciopidae,Vanadis tagensis,,332805,0,0,1,1,0
2833,annelida,polychaeta,terebellida,alvinellidae,Paralvinella dela,,330306,0,0,0,1,0
1719,annelida,polychaeta,terebellida,alvinellidae,Paralvinella palmiformis,,330310,0,0,1,1,0
2834,annelida,polychaeta,terebellida,alvinellidae,Paralvinella pandorae,,330311,0,0,0,1,1
1720,annelida,polychaeta,terebellida,alvinellidae,Paralvinella sulfincola,,334364,0,0,1,1,1
1721,annelida,polychaeta,terebellida,ampharetidae,Amage anops,,332918,0,0,1,1,1
1722,annelida,polychaeta,terebellida,ampharetidae,Amage auricula,,129771,0,0,1,1,0
1724,annelida,polychaeta,terebellida,ampharetidae,Amage scutata,,334366,0,0,1,0,1
1725,annelida,polychaeta,terebellida,ampharetidae,Amage tumida,,326278,0,0,1,1,0
1726,annelida,polychaeta,terebellida,ampharetidae,Amelinna armipotens,,336193,0,0,1,0,0
1728,annelida,polychaeta,terebellida,ampharetidae,Ampharete acutifrons,,159917,0,0,1,0,1
1729,annelida,polychaeta,terebellida,ampharetidae,Ampharete americana,,326311,0,0,1,1,0
1730,annelida,polychaeta,terebellida,ampharetidae,Ampharete arctica,,159916,0,0,1,1,0
2835,annelida,polychaeta,terebellida,ampharetidae,Ampharete borealis,,332927,0,0,0,1,0
2836,annelida,polychaeta,terebellida,ampharetidae,Ampharete californica,,744683,0,0,0,1,0
2837,annelida,polychaeta,terebellida,ampharetidae,Ampharete cornuta,,744684,0,0,0,1,0
1734,annelida,polychaeta,terebellida,ampharetidae,Ampharete finmarchica,,129778,0,0,1,1,1
